id,subfield,subfield_name,title,first_author,venue,year,tier,arxiv_id,doi,url,one_line_summary
V2-021,1,非平稳/分布漂移/归一化/TTA时序预测,Adaptive Unsupervised Anomaly Detection for Low-Quality Multivariate Time-Series Data,Jiayi Liu,TKDE,2026,CCF-A,,10.1109/TKDE.2026.3700672,https://doi.org/10.1109/TKDE.2026.3700672,针对含缺失、属性错位与概念漂移的低质量多元时序异常检测，提出融合掩码与缺失长度信息的自注意力机制及深度概率自适应记忆网络的无监督自适应检测方法。
V2-022,1,非平稳/分布漂移/归一化/TTA时序预测,Collaborative Imputation of Urban Time Series Through Cross-City Meta-Learning,Tong Nie,TKDE,2025,CCF-A,2501.11306,10.1109/TKDE.2025.3633492,https://arxiv.org/abs/2501.11306,针对城市时序数据缺失且跨城异质的插补难题，提出基于元学习隐式神经表示的跨城市协同插补范式。
V2-023,1,非平稳/分布漂移/归一化/TTA时序预测,Time Series Domain Adaptation via Latent Invariant Causal Mechanism,Ruichu Cai,TPAMI,2025,CCF-A,2502.16637,10.1109/TPAMI.2025.3642245,https://arxiv.org/abs/2502.16637,针对高维时序（如视频）中观测变量间因果结构难以建模的问题，提出隐变量层面的潜在不变因果机制识别框架以实现时序域自适应。
V2-024,1,非平稳/分布漂移/归一化/TTA时序预测,Revisiting the Seasonal Trend Decomposition for Enhanced Time Series Forecasting,Sanjeev Panta,ICASSP 2026,2026,CCF-B,2602.18465,,https://arxiv.org/abs/2602.18465,重审季节-趋势分解：发现可逆实例归一化仅对趋势分量有效，据此对季节分量免归一化直接建模，提出更高效的 dual-MLP 方案。
V2-025,1,非平稳/分布漂移/归一化/TTA时序预测,AdaNODEs: Test Time Adaptation for Time Series Forecasting Using Neural ODEs,Ting Dang,ICASSP 2026,2026,CCF-B,2601.12893,,https://arxiv.org/abs/2601.12893,针对时序预测的测试时适应空白，提出基于神经 ODE 的无源 TTA 方法 AdaNODEs，配新损失函数且仅更新少量参数。
V2-026,1,非平稳/分布漂移/归一化/TTA时序预测,ALER-TI: Aligned Latent Embedding Retrieval for Time Series Imputation,Xuan-Thong Truong,arXiv preprint,2026,preprint,2607.07640,,https://arxiv.org/abs/2607.07640,针对局部上下文不足以重建非平稳/弱相关缺失片段的问题，提出对齐潜在嵌入检索插补框架 ALER-TI，经潜空间对齐检索历史模式辅助重建。
V2-027,1,非平稳/分布漂移/归一化/TTA时序预测,NEST: Tackling Dataset-Level Distribution Shifts via Regime-Oriented Mixture-of-Experts,Lanhao Li,arXiv preprint,2026,preprint,2607.06607,,https://arxiv.org/abs/2607.06607,针对数据集级分布漂移（多机制复合），提出机制导向的两阶段稠密 MoE 框架 NEST，经矩-熵空间无监督聚类划分机制并按内容路由专家。
V2-028,1,非平稳/分布漂移/归一化/TTA时序预测,Evolutionary Feature Engineering for Structured Data,Ege Onur Taga,arXiv preprint,2026,preprint,2607.01548,,https://arxiv.org/abs/2607.01548,提出 LLM 驱动的进化式特征工程框架 EFE，为结构化数据自动发现预处理变换；其 EFE-Time 变体为时序基础模型学习可逆的数据集专属归一化。
V2-029,1,非平稳/分布漂移/归一化/TTA时序预测,RAVEN: A Regime-Aware Variable-context Expert Network for Financial Time Series Forecasting,Cheng He,arXiv preprint,2026,preprint,2606.24062,,https://arxiv.org/abs/2606.24062,针对金融时序低信噪比与机制相关依赖导致固定上下文窗失配的问题，提出机制感知可变上下文专家网络 RAVEN，按数据自适应确定回看长度。
V2-030,1,非平稳/分布漂移/归一化/TTA时序预测,Spectral Retrieval-Augmented Time-Series Forecasting,Huu Hiep Nguyen,arXiv preprint,2026,preprint,2606.19412,,https://arxiv.org/abs/2606.19412,针对检索增强预测的频谱盲视与时间近因忽视问题，提出谱检索方法 SpecReTF，用窗口化频域表示与幅相联合相似度检索历史模式。
V2-031,1,非平稳/分布漂移/归一化/TTA时序预测,GenAutoML: An Agentic Framework for Dynamic Architecture Generation and Optimization in Time-Series Analysis,Oleeviya Babu Poikarayil,arXiv preprint,2026,preprint,2606.05860,,https://arxiv.org/abs/2606.05860,提出以 LLM 为神经架构师的智能体 AutoML 框架 GenAutoML，含沙盒反思循环与动态可逆实例归一化（Dyn-RevIN）以增强非平稳鲁棒性。
V2-032,1,非平稳/分布漂移/归一化/TTA时序预测,Identifiable Markov Switching Models with Instantaneous Effects and Exponential Families,Roel Hulsman,arXiv preprint,2026,preprint,2606.02231,,https://arxiv.org/abs/2606.02231,针对频繁机制切换、非线性非高斯动态及瞬时效应下的马尔可夫切换模型，建立潜在机制与机制相关因果结构的可识别性理论。
V2-033,1,非平稳/分布漂移/归一化/TTA时序预测,Inspectable Neural Markov Models for Non-Stationary Time Series,Jan Rovirosa,arXiv preprint,2026,preprint,2605.30943,,https://arxiv.org/abs/2605.30943,针对高分辨率下频数法估计转移矩阵失效的问题，提出神经网络参数化随机矩阵流形的可检视马尔可夫模型，估计时变非齐次马尔可夫链。
V2-034,1,非平稳/分布漂移/归一化/TTA时序预测,STaT: Resolving Shape Distortion in Non-Stationary Time Series via Tri-Modal Synergy,Hui Cheng,arXiv preprint,2026,preprint,2605.25943,,https://arxiv.org/abs/2605.25943,针对多模态预测过度平滑丢失关键波动的问题，提出符号-时序-文本三模态对齐架构 STaT，用符号离散化精确捕捉结构模式与转折点。
V2-035,1,非平稳/分布漂移/归一化/TTA时序预测,DeRegiME: Deep Regime Mixtures for Probabilistic Forecasting under Distribution Shift,Kieran Wood,arXiv preprint,2026,preprint,2605.19231,,https://arxiv.org/abs/2605.19231,提出深度机制混合概率预测器 DeRegiME，用稀疏变分 GP 的非平稳机制混合核与 Student-t 似然分离潜在不确定性机制并软分配预测位置。
V2-036,1,非平稳/分布漂移/归一化/TTA时序预测,L-Drive: Beyond a Single Mapping-Latent Context Drives Time Series Forecasting,Fan Zhang,arXiv preprint,2026,preprint,2605.17730,,https://arxiv.org/abs/2605.17730,针对统一映射在机制切换点响应滞后的问题，提出变化感知框架 L-Drive，引入潜在上下文刻画高层动态并以门控调制增量表示。
V2-037,1,非平稳/分布漂移/归一化/TTA时序预测,Towards Principled Test-Time Adaptation for Time Series Forecasting,Haochun Wang,arXiv preprint,2026,preprint,2605.17250,,https://arxiv.org/abs/2605.17250,针对 TSF 测试时适应协议不统一的问题，提出仅用成熟真值的干净适应协议，并据频域诊断提出频率感知校准方法 FAC。
V2-038,1,非平稳/分布漂移/归一化/TTA时序预测,SeesawNet: Towards Non-stationary Time Series Forecasting with Balanced Modeling of Common and Specific Dependencies,Hao Li,arXiv preprint,2026,preprint,2605.14551,,https://arxiv.org/abs/2605.14551,针对实例归一化过度平滑实例特异结构的问题，提出 SeesawNet，用自适应平稳-非平稳注意力在时间与通道维度动态平衡共性与特异依赖建模。
V2-039,1,非平稳/分布漂移/归一化/TTA时序预测,LeapTS: Rethinking Time Series Forecasting as Adaptive Multi-Horizon Scheduling,Sheng Pan,arXiv preprint,2026,preprint,2605.10292,,https://arxiv.org/abs/2605.10292,将时序预测重构为预测视界上的动态调度过程，提出 LeapTS：层级控制器动态选择预测尺度与步长，配神经受控微分方程演化状态。
V2-040,1,非平稳/分布漂移/归一化/TTA时序预测,NoRIN: Backbone-Adaptive Reversible Normalization for Time-Series Forecasting,Shun Zhang,arXiv preprint,2026,preprint,2605.10823,,https://arxiv.org/abs/2605.10823,针对 RevIN 类仿射归一化无法矫正重尾与偏度的问题，提出基于 Johnson S_U 变换的非线性可逆归一化 NoRIN，并揭示形状参数退化现象。
V2-041,1,非平稳/分布漂移/归一化/TTA时序预测,STEPS: A Temporal Smooth Error Propagation Solver on the Manifolds for Test-Time Adaptation in Time Series Forecasting,Jiaqi Liu,arXiv preprint,2026,preprint,2605.08005,,https://arxiv.org/abs/2605.08005,针对源自由在线 TTA 中弱可识别与误差累积问题，提出 STEPS，将预测 TTA 形式化为时间流形上的 Dirichlet 边值问题求解平滑校正场。
V2-042,1,非平稳/分布漂移/归一化/TTA时序预测,Learning Time-Inhomogeneous Markov Dynamics in Financial Time Series via Neural Parameterization,Jan Rovirosa,arXiv preprint,2026,preprint,2605.04690,,https://arxiv.org/abs/2605.04690,针对高噪声金融数据中经验计数估计退化的问题，用神经网络参数化生成显式时变马尔可夫转移矩阵，保持结构可解释性。
V2-043,1,非平稳/分布漂移/归一化/TTA时序预测,PAMod: Modeling Cyclical Shifts via Phase-Amplitude Modulation for Non-stationary Time Series Forecasting,Yingbo Zhou,arXiv preprint,2026,preprint,2605.00466,,https://arxiv.org/abs/2605.00466,针对分布漂移呈周期性（季节/节假日）的场景，提出相位-幅度调制框架 PAMod，学习周期嵌入分别调制均值与方差漂移。
V2-044,1,非平稳/分布漂移/归一化/TTA时序预测,TTCD:Transformer Integrated Temporal Causal Discovery from Non-Stationary Time Series Data,Omar Faruque,arXiv preprint,2026,preprint,2605.08111,,https://arxiv.org/abs/2605.08111,针对非平稳非线性时序的因果发现，提出 Transformer 集成的端到端框架 TTCD，联合学习同期与滞后因果关系。
V2-045,1,非平稳/分布漂移/归一化/TTA时序预测,TimeRFT: Stimulating Generalizable Time Series Forecasting for TSFMs via Reinforcement Finetuning,Siyang Li,arXiv preprint,2026,preprint,2605.00015,,https://arxiv.org/abs/2605.00015,针对 SFT 微调 TSFM 在时间分布漂移下易过拟合的问题，提出强化学习微调范式 TimeRFT 以提升下游泛化。
V2-046,1,非平稳/分布漂移/归一化/TTA时序预测,Reversible Residual Normalization Alleviates Spatio-Temporal Distribution Shift,Zhaobo Hu,arXiv preprint,2026,preprint,2604.15838,,https://arxiv.org/abs/2604.15838,针对时空图上节点异质分布漂移的问题，提出可逆残差归一化 RRN，在可逆残差块内嵌图卷积实现空间感知的可逆变换。
V2-047,1,非平稳/分布漂移/归一化/TTA时序预测,Drift-Aware Online Dynamic Learning for Nonstationary Multivariate Time Series: Application to Sintering Quality Prediction,Yumeng Zhao,arXiv preprint,2026,preprint,2604.09358,,https://arxiv.org/abs/2604.09358,针对工业烧结场景概念漂移叠加标签验证延迟的问题，提出漂移感知多尺度动态学习框架 DA-MSDL，经在线自适应机制维持多输出预测。
V2-048,1,非平稳/分布漂移/归一化/TTA时序预测,StationarityToolkit: Comprehensive Time Series Stationarity Analysis in Python,Bhanu Suraj Malla,arXiv preprint,2026,preprint,2604.08676,,https://arxiv.org/abs/2604.08676,提出 Python 库 StationarityToolkit：以趋势/方差/季节三类共 10 项统计检验区分不同类型非平稳性并给出可操作诊断。
V2-049,1,非平稳/分布漂移/归一化/TTA时序预测,Non-Stationarity in the Embedding Space of Time Series Foundation Models,Jinmyeong Choi,arXiv preprint,2026,preprint,2604.16428,,https://arxiv.org/abs/2604.16428,研究 TSFM 嵌入空间中的非平稳性：受控实验分析均值/方差/趋势漂移与长记忆持久性在嵌入中的线性可分性。
V2-050,1,非平稳/分布漂移/归一化/TTA时序预测,RG-TTA: Regime-Guided Meta-Control for Test-Time Adaptation in Streaming Time Series,Indar Kumar,arXiv preprint,2026,preprint,2603.27814,,https://arxiv.org/abs/2603.27814,针对 TTA 对不同漂移施加同一强度的问题，提出 RG-TTA：以 KS/Wasserstein 等集成相似度元控制器调制学习率与梯度预算。
V2-051,1,非平稳/分布漂移/归一化/TTA时序预测,TimeAPN: Adaptive Amplitude-Phase Non-Stationarity Normalization for Time Series Forecasting,Yue Hu,arXiv preprint,2026,preprint,2603.17436,,https://arxiv.org/abs/2603.17436,针对归一化仅用一二阶统计量、忽视幅相细粒度动态的问题，提出 TimeAPN：时频域联合建模并预测均值与相位非平稳因子。
V2-052,1,非平稳/分布漂移/归一化/TTA时序预测,On the Role of Reversible Instance Normalization,Gaspard Berthelier,arXiv preprint,2026,preprint,2603.11869,,https://arxiv.org/abs/2603.11869,识别时序预测归一化的三类分布漂移挑战，消融揭示 RevIN 若干组件冗余甚至有害，提出改进其鲁棒性与泛化的新视角。
V2-053,1,非平稳/分布漂移/归一化/TTA时序预测,Rethinking Adam for Time Series Forecasting: A Simple Heuristic to Improve Optimization under Distribution Shifts,Yuze Dong,arXiv preprint,2026,preprint,2603.10095,,https://arxiv.org/abs/2603.10095,针对 Adam 二阶偏差校正限制对漂移损失面响应的问题，提出 TS_Adam：去除学习率二阶校正，免超参提升漂移适应性。
V2-054,1,非平稳/分布漂移/归一化/TTA时序预测,Dynamic Multi-period Experts for Online Time Series Forecasting,Seungha Hong,arXiv preprint,2026,preprint,2603.09062,10.1145/3774904.3792731,https://arxiv.org/abs/2603.09062,将概念漂移分为复现型与突现型，提出 DynaME：多周期专家委员会拟合历史周期模式+高不确定时切换稳定通用专家。
V2-055,1,非平稳/分布漂移/归一化/TTA时序预测,FastODT: A tree-based framework for efficient continual learning,Daniel Bretsko,arXiv preprint,2026,preprint,2603.13276,,https://arxiv.org/abs/2603.13276,提出遗忘树框架 FastODT：Hoeffding 界控制生长的 oblivious 树，实现非平稳时序的在线学习与知识保持兼顾效率。
V2-056,1,非平稳/分布漂移/归一化/TTA时序预测,TEFL: Prediction-Residual-Guided Rolling Forecasting for Multi-Horizon Time Series,Xiannan Huang,arXiv preprint,2026,preprint,2602.22520,,https://arxiv.org/abs/2602.22520,针对滚动预测残差信息被忽视的问题，提出 TEFL：可观测多步残差选取+低秩适配器融合+两阶段训练的误差反馈学习框架。
V2-057,1,非平稳/分布漂移/归一化/TTA时序预测,Be Wary of Your Time Series Preprocessing,Sofiane Ennadir,arXiv preprint,2026,preprint,2602.17568,,https://arxiv.org/abs/2602.17568,首个 Transformer 时序归一化表达力形式化分析：提出表达力框架并推导 Standard/Min-Max 缩放的理论界，揭示归一化选择影响表征能力。
V2-058,1,非平稳/分布漂移/归一化/TTA时序预测,DCD: Decomposition-based Causal Discovery from Autocorrelated and Non-Stationary Temporal Data,Muhammad Hasan Ferdous,arXiv preprint,2026,preprint,2602.01433,,https://arxiv.org/abs/2602.01433,针对非平稳与自相关下因果发现易生虚假边的问题，提出分解式框架 DCD：趋势/季节/残差分量各自因果分析再融合多尺度因果图。
V2-059,1,非平稳/分布漂移/归一化/TTA时序预测,Analyzing and Improving Diffusion Models for Time-Series Data Imputation: A Proximal Recursion Perspective,Zhichao Chen,arXiv preprint,2026,preprint,2602.01182,,https://arxiv.org/abs/2602.01182,从近端算子视角分析扩散插补在非平稳下失真的机理，提出 SPIRIT：熵诱导 Bregman 散度正则的半近端传输插补框架。
V2-060,1,非平稳/分布漂移/归一化/TTA时序预测,Computationally efficient segmentation for non-stationary time series with oscillatory patterns,Nicolas Bianco,arXiv preprint,2026,preprint,2601.22999,,https://arxiv.org/abs/2601.22999,针对振荡非平稳时序分段的问题，提出将正弦和模型经参数离散化转为线性模型的高效变点检测方法并给出定位误差界。
V2-061,1,非平稳/分布漂移/归一化/TTA时序预测,Learning-to-Defer in Non-Stationary Time Series via Switching State-Space Models,Yannis Montreuil,arXiv preprint,2026,preprint,2601.22538,,https://arxiv.org/abs/2601.22538,提出流式非平稳下的在线 learning-to-defer 框架 L2D-SLDS：切换线性高斯状态空间建模残差+学习者感知查询分数，并证明 oracle 不等式。
V2-062,1,非平稳/分布漂移/归一化/TTA时序预测,COGS: A Causal Representation Learning Framework for Out-of-Distribution Generalization in Time Series,Xinxin Song,arXiv preprint,2026,preprint,,10.1609/aaai.v40i30.39753,https://doi.org/10.1609/aaai.v40i30.39753,针对时序 OOD 泛化研究不足，提出因果表示学习框架 COGS，以结构先验分离因果与非因果隐变量并学习域不变表示。
V2-063,1,非平稳/分布漂移/归一化/TTA时序预测,Shift-Resilient Diffusive Imputation for Variable Subset Forecasting,Haihua Xu,arXiv preprint,2026,preprint,,10.1145/3774904.3792511,https://doi.org/10.1145/3774904.3792511,针对变量子集预测（VSF）中的序间/序内分布漂移，提出漂移鲁棒的扩散式插补-预测框架。
V2-064,2,在线学习/延迟反馈/在线共形预测/不确定性量化,Simulation-Augmented Multi-Step Split Conformal Prediction for Aggregated Forecasts,Andro Sabashvili,ICML 2026,2026,CCF-A,2606.16356,,https://arxiv.org/abs/2606.16356,针对年度总量等聚合预测的不确定性量化，提出模拟增强多步分割共形方法 SA-MSCP，用块自助生成未来路径构造预测区间。
V2-065,2,在线学习/延迟反馈/在线共形预测/不确定性量化,Online Irregular Multivariate Time Series Forecasting via Uncertainty-Driven Dual-Expert Calibration,Haonan Wen,KDD 2026,2026,CCF-A,2605.28603,,https://arxiv.org/abs/2605.28603,针对不规则多元时序在线部署时分布漂移致性能退化的问题，提出不确定性驱动的双专家校准框架 Under-Cali。
V2-066,2,在线学习/延迟反馈/在线共形预测/不确定性量化,The Forecast After the Forecast: A Post-Processing Shift in Time Series,Daojun Liang,ICLR 2026,2026,CCF-A,2601.20280,,https://arxiv.org/abs/2601.20280,针对已部署预测器免重训的最后一公里增益问题，提出轻量架构无关的 δ-Adapter，经输入微调与输出残差校正提升精度与不确定性并给出理论保证。
V2-067,2,在线学习/延迟反馈/在线共形预测/不确定性量化,ProbFM: Probabilistic Time Series Foundation Model with Uncertainty Decomposition,Arundeep Chinta,AAAI 2026,2026,CCF-A,2601.10591,,https://arxiv.org/abs/2601.10591,针对 TSFM 不确定性量化混淆来源且缺乏校准机制的问题，提出基于深度证据回归的概率基础模型 ProbFM，实现认知/偶然不确定性分解。
V2-068,2,在线学习/延迟反馈/在线共形预测/不确定性量化,Beyond Accuracy: Are Time Series Foundation Models Well-Calibrated?,Coen Adler,ICLR 2026,2026,CCF-A,2510.16060,,https://arxiv.org/abs/2510.16060,系统评测五个时序基础模型的校准性质（过/欠自信、预测头影响、长程自回归下校准），发现 TSFM 校准整体优于基线。
V2-069,2,在线学习/延迟反馈/在线共形预测/不确定性量化,From Samples to Scenarios: A New Paradigm for Probabilistic Forecasting,Xilin Dai,ICLR 2026,2026,CCF-A,2509.19975,,https://arxiv.org/abs/2509.19975,"针对采样式概率预测缺显式概率且覆盖不足的问题，提出概率情景范式与三层线性模型 TimePrism，直接输出{情景,概率}对。"
V2-070,2,在线学习/延迟反馈/在线共形预测/不确定性量化,Online time series prediction using feature adjustment,Xiannan Huang,ICLR 2026,2026,CCF-A,2509.03810,,https://arxiv.org/abs/2509.03810,针对在线预测中延迟反馈与潜因子漂移，提出特征调整方法：更新潜在因子的特征表示而非常规参数选择以适应分布漂移。
V2-071,2,在线学习/延迟反馈/在线共形预测/不确定性量化,DynEformer: A Unified Framework for Robust Workload Prediction Under Dynamic Environment,Shaoyuan Huang,TKDE,2026,CCF-A,,10.1109/TKDE.2026.3689812,https://doi.org/10.1109/TKDE.2026.3689812,针对多租户边缘云动态环境下负载预测难题，提出含全局池化与静态上下文感知的端到端统一预测框架 DynEformer。
V2-072,2,在线学习/延迟反馈/在线共形预测/不确定性量化,Uncertainty-Aware Online Time Series Multi-Step Forecasting Framework in Cloud Systems,Jiadong Chen,TKDE,2026,CCF-A,,10.1109/TKDE.2026.3674583,https://doi.org/10.1109/TKDE.2026.3674583,针对云系统多步区间预测，提出在线追赶集成框架 IPOC，经动态确定性 MDP 形式化并引入自适应 Copula 共形推断模块 ACCI。
V2-073,2,在线学习/延迟反馈/在线共形预测/不确定性量化,ODGNet: Learning Dynamic Variable Association for Online Time Series Forecasting,Yushuo Liu,TKDE,2026,CCF-A,,10.1109/TKDE.2026.3679682,https://doi.org/10.1109/TKDE.2026.3679682,针对流式时序概念漂移中变量间关联漂移被忽视的问题，提出在线动态图网络 ODGNet，用矩阵多项式表示变量关联并基于在线梯度学习演化趋势。
V2-074,2,在线学习/延迟反馈/在线共形预测/不确定性量化,OMCR: An Online Multivariate Forecaster for Cloud Resource Management,Xu Gao,TKDE,2026,CCF-A,,10.1109/TKDE.2025.3619097,https://doi.org/10.1109/TKDE.2025.3619097,针对云资源负载多变的在线预测，提出在线多元预测器 OMCR，融合长期记忆与短期快速响应机制并降低对历史数据依赖。
V2-075,2,在线学习/延迟反馈/在线共形预测/不确定性量化,Self-Adaptive Scale Handling for Forecasting Time Series with Scale Heterogeneity,Xu Zhang,ICASSP,2026,CCF-B,2606.20010,,https://arxiv.org/abs/2606.20010,针对量纲异质时序联合建模中全局/窗口缩放各有弊端的问题，提出自适应尺度处理模块 AS，逐输入学习尺度因子保持语义可分性。
